City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Port Blair,IN,82.44,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
264,Panalingaan,PH,86.04,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
265,Luganville,VU,81.09,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
267,Cartagena,CO,80.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
272,Buala,SB,82.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
284,Moa,CU,79.21,scattered clouds,20.6569,-74.9403,Carmen
286,Kirakira,SB,81.97,overcast clouds,-10.4544,161.9205,SanBiz Lodge
290,Sinnamary,GF,76.19,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
291,Tual,ID,79.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
294,Nong Chik,TH,89.01,overcast clouds,6.8436,101.178,Bakkahland Farm and Resort
295,Kokopo,PG,85.24,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
300,Tallahassee,US,80.33,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
303,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
323,Batticaloa,LK,89.13,overcast clouds,7.7102,81.6924,Grand Star Guest House
324,Pandan,PH,85.48,overcast clouds,14.0453,124.1694,Bonifacio Lodge
329,Ust-Nera,RU,85.15,overcast clouds,64.5667,143.2,Hotel Ust-Nera
330,Shimanovsk,RU,82.54,overcast clouds,52.0,127.7,Гостиница Домашняя
331,Esso,RU,78.55,broken clouds,55.9333,158.7,Paramushir Tur
341,Namangan,UZ,84.65,overcast clouds,40.9983,71.6726,TANDIMON
342,Mareeba,AU,75.43,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
345,Dhidhdhoo,MV,82.38,overcast clouds,6.8833,73.1,Dhidhoo beach
347,Mnogovershinnyy,RU,88.18,scattered clouds,53.9353,139.9242,Obshchezhitiye 14
357,Lincoln,US,76.12,scattered clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
358,Jinchang,CN,87.1,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
360,Honiara,SB,85.42,light rain,-9.4333,159.95,Heritage Park Hotel
370,Westport,US,75.18,few clouds,41.1415,-73.3579,The Westport Inn
374,Elizabeth City,US,78.06,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
