,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Dilla,ET,6.41,38.31,63.1,90,98,0.49,light rain
79,Dera Bugti,PK,29.0307,69.151,93.92,48,98,13.44,light rain
80,Ambon,ID,-3.6954,128.1814,81.23,13,40,3.44,scattered clouds
81,Fort Nelson,CA,58.8053,-122.7002,69.39,49,75,3.44,broken clouds
82,Ambovombe,MG,-25.1667,46.0833,65.95,67,0,3.33,clear sky
83,Lompoc,US,34.6391,-120.4579,63.01,86,100,14.0,overcast clouds
84,Aska,IN,19.6061,84.6725,86.09,73,100,5.14,overcast clouds
85,Kununurra,AU,-15.7667,128.7333,76.98,22,5,12.66,clear sky
86,Kavaratti,IN,10.5669,72.642,81.32,83,98,18.63,moderate rain
87,Half Moon Bay,US,37.4636,-122.4286,64.31,83,100,16.11,overcast clouds
88,Hasaki,JP,35.7333,140.8333,84.29,83,13,17.94,few clouds
89,Salalah,OM,17.0151,54.0924,77.09,100,100,3.44,light intensity drizzle
90,Saint-Philippe,RE,-21.3585,55.7679,73.22,70,58,9.91,broken clouds
91,Bengkulu,ID,-3.8004,102.2655,85.75,67,26,7.67,scattered clouds
92,Busselton,AU,-33.65,115.3333,58.39,67,100,7.81,overcast clouds
93,Ribeira Grande,PT,38.5167,-28.7,66.22,76,92,11.21,overcast clouds
94,Meulaboh,ID,4.1363,96.1285,85.84,63,52,3.87,broken clouds
95,Bilibino,RU,68.0546,166.4372,56.08,61,89,7.0,overcast clouds
96,Damghan,IR,36.1683,54.348,75.49,35,0,4.03,clear sky
97,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,24.16,clear sky
98,Asau,RO,46.4333,26.4,60.28,96,100,3.09,light rain
99,Berbera,SO,10.4396,45.0143,90.97,40,56,34.14,broken clouds
100,Ercis,TR,39.0287,43.3586,68.52,40,5,7.76,clear sky
101,Ndele,CF,8.4109,20.6473,69.78,96,89,3.56,overcast clouds
102,Cape Town,ZA,-33.9258,18.4232,57.38,77,74,5.99,broken clouds
103,Kommunarka,RU,55.5695,37.4893,76.06,71,0,6.71,clear sky
104,Luderitz,NA,-26.6481,15.1594,52.95,62,0,9.46,clear sky
105,Chippewa Falls,US,44.9369,-91.3929,70.99,92,0,0.0,clear sky
106,Teahupoo,PF,-17.8333,-149.2667,73.36,73,9,11.95,light rain
107,Namatanai,PG,-3.6667,152.4333,79.59,84,97,12.88,moderate rain
108,Mangit,UZ,40.5971,70.9607,89.76,17,15,17.0,few clouds
109,Lazaro Cardenas,MX,17.9583,-102.2,79.0,82,92,3.44,overcast clouds
110,Khandbari,NP,27.3747,87.2039,86.02,66,31,4.05,scattered clouds
111,Narrabri,AU,-30.3167,149.7833,66.52,66,55,3.0,broken clouds
112,Severo-Kurilsk,RU,50.6789,156.125,56.41,65,100,11.23,overcast clouds
113,Saint George,US,37.1041,-113.5841,90.19,9,0,5.75,clear sky
114,Ouadda,CF,8.0777,22.4007,66.83,95,47,2.89,scattered clouds
115,Bredasdorp,ZA,-34.5322,20.0403,47.34,68,39,7.54,scattered clouds
116,Kruisfontein,ZA,-34.0033,24.7314,51.35,58,0,7.9,clear sky
117,Butaritari,KI,3.0707,172.7902,82.71,74,80,17.52,broken clouds
118,Smithers,CA,54.7804,-127.1743,59.32,94,75,0.0,broken clouds
119,Le Port,RE,-20.9373,55.2919,73.62,58,46,2.66,scattered clouds
120,Kapaa,US,22.0752,-159.319,80.58,83,75,17.27,broken clouds
121,Guerrero Negro,MX,27.9769,-114.0611,66.6,89,5,13.24,clear sky
122,Suntar,RU,62.1444,117.6319,64.81,80,100,9.98,light rain
123,Great Yarmouth,GB,52.6083,1.7305,61.05,83,100,19.3,overcast clouds
124,Rundu,NA,-17.9333,19.7667,50.22,59,0,3.71,clear sky
125,Karratha,AU,-20.7377,116.8463,73.31,19,3,16.8,clear sky
126,Ardalstangen,NO,61.2371,7.6983,54.09,98,100,4.61,overcast clouds
127,Urubicha,BO,-15.3833,-62.95,69.13,66,6,3.56,clear sky
128,Sydney,AU,-33.8679,151.2073,65.64,71,75,21.85,light rain
129,Okhotsk,RU,59.3833,143.3,64.02,79,40,13.15,scattered clouds
130,San Lazaro,BZ,18.0387,-88.6622,74.14,96,99,3.22,overcast clouds
131,Mahebourg,MU,-20.4081,57.7,73.69,60,75,12.66,broken clouds
132,Haines Junction,CA,60.7522,-137.5108,60.93,75,77,2.91,broken clouds
133,Nador,MA,35.174,-2.9287,75.45,88,75,4.61,broken clouds
134,Mount Gambier,AU,-37.8333,140.7667,53.06,68,84,9.73,broken clouds
135,Russell,US,32.3502,-85.1999,82.0,94,0,0.0,clear sky
136,Siderno,IT,38.2779,16.302,79.34,53,1,6.08,clear sky
137,Hellvik,NO,59.9156,5.781,56.77,80,78,5.01,broken clouds
138,Santa Fe,AR,-31.6333,-60.7,59.95,92,0,11.99,light rain
139,Maitum,PH,6.0392,124.4986,85.77,66,68,8.1,broken clouds
140,Iqaluit,CA,63.7506,-68.5145,37.13,100,100,3.44,mist
141,Upernavik,GL,72.7868,-56.1549,39.4,89,15,6.51,few clouds
142,Kahului,US,20.8947,-156.47,78.82,78,40,21.85,scattered clouds
143,The Valley,AI,18.217,-63.0578,81.1,78,7,17.72,clear sky
144,Atambua,ID,-9.1061,124.8925,76.69,59,100,1.19,overcast clouds
145,Umm Lajj,SA,25.0213,37.2685,86.38,49,26,3.85,scattered clouds
146,Aranos,NA,-24.1333,19.1167,49.68,49,0,9.01,clear sky
147,Souillac,MU,-20.5167,57.5167,73.78,60,75,12.66,broken clouds
148,Maxixe,MZ,-23.8597,35.3472,60.51,83,0,4.52,clear sky
149,Chokurdakh,RU,70.6333,147.9167,65.16,32,97,13.06,overcast clouds
150,Kutum,SD,14.2,24.6667,78.37,47,51,7.99,broken clouds
151,Bantogon,PH,6.5333,124.0333,84.04,68,33,7.31,scattered clouds
152,Avarua,CK,-21.2078,-159.775,69.85,68,64,4.61,broken clouds
153,Torrington,US,41.8007,-73.1212,67.01,85,2,1.99,clear sky
154,Cabo San Lucas,MX,22.8909,-109.9124,85.3,56,10,11.18,clear sky
155,Hanko,FI,59.8333,22.95,66.06,69,63,11.83,broken clouds
156,Paita,PE,-5.0892,-81.1144,63.18,83,4,10.31,clear sky
157,Neustadt,DE,49.7117,12.0872,56.97,75,100,2.62,light rain
158,Urumqi,CN,43.801,87.6005,76.15,34,0,4.47,clear sky
159,Esperance,AU,-33.8667,121.9,60.73,67,80,14.09,broken clouds
160,Chuy,UY,-33.6971,-53.4616,61.97,93,100,14.45,overcast clouds
161,Vaini,TO,-21.2,-175.2,73.56,73,20,5.75,few clouds
162,Naze,JP,28.3667,129.4833,83.32,77,100,10.56,overcast clouds
163,Lupsanu,RO,44.3833,26.9,69.67,68,81,17.98,broken clouds
164,Manbij,SY,36.5281,37.9549,79.75,53,30,15.66,scattered clouds
165,Hvide Sande,DK,56.0045,8.1294,58.08,86,95,24.27,overcast clouds
166,Coahuayana,MX,18.7333,-103.6833,78.66,88,100,1.25,overcast clouds
